date,value,voltage
13-18-03,389.69,1.14
13-18-04,317.45,0.93
13-18-05,380.02,1.11
13-18-06,328.22,0.96
13-18-07,365.45,1.07
13-18-08,345.59,1.01
13-18-10,347.02,1.02
13-18-10,359.3,1.05
13-18-11,333.53,0.98
13-18-12,377.62,1.11
13-18-13,318.02,0.93
13-18-14,388.68,1.14
13-18-15,311.29,0.91
13-18-16,392.78,1.15
13-18-17,311.07,0.91
13-18-18,390.25,1.14
13-18-19,316.57,0.93
13-18-20,381.6,1.12
13-18-21,325.87,0.96
13-18-22,369,1.08
13-18-23,336,0.99
13-18-24,357.81,1.05
13-18-25,351.27,1.03
13-18-26,341.02,1
13-18-27,370.86,1.09
13-18-28,325.3,0.95
13-18-29,384.01,1.13
13-18-30,313.82,0.92
13-18-31,392.63,1.15
13-18-32,311.06,0.91
13-18-33,393.48,1.15
13-18-34,313.38,0.92
13-18-35,387.19,1.14
13-18-36,321.71,0.94
13-18-37,375.44,1.1
13-18-38,334.22,0.98
13-18-39,360.07,1.06
13-18-40,349.98,1.03
13-18-41,341.62,1
13-18-42,363.94,1.07
13-18-43,329.15,0.97
13-18-44,382.18,1.12
13-18-45,314.56,0.92
13-18-46,387.4,1.14
13-18-47,311.46,0.91
13-18-48,389.11,1.14
13-18-50,315.92,0.93
13-18-50,380.35,1.12
13-18-51,328.35,0.96
13-18-52,368.35,1.08
13-18-53,343.96,1.01
13-18-54,347.12,1.02
13-18-55,360.03,1.06
13-18-56,332.54,0.98
13-18-57,378.54,1.11
13-18-58,317.92,0.93
13-18-59,387.91,1.14
13-19-00,311.08,0.91
13-19-01,390.42,1.14
13-19-02,313.86,0.92
13-19-03,386.02,1.13
13-19-04,319.37,0.94
13-19-05,372.05,1.09
13-19-06,338.22,0.99
13-19-07,353.53,1.04
13-19-08,353.08,1.04
13-19-09,337.58,0.99
13-19-10,373.69,1.1
13-19-11,321.31,0.94
13-19-12,385.67,1.13
13-19-13,312.92,0.92
13-19-14,391.01,1.15
13-19-15,310.84,0.91
13-19-16,387.89,1.14
13-19-17,315.5,0.93
13-19-19,388.3,1.14
13-19-20,326.15,0.96
13-19-21,363.79,1.07
13-19-22,339.19,0.99
13-19-23,350.84,1.03
13-19-24,357.66,1.05
13-19-25,334.26,0.98
13-19-26,370.56,1.09
13-19-27,322.68,0.95
13-19-28,383.52,1.12
13-19-29,314.33,0.92
13-19-30,389.02,1.14
13-19-31,310.77,0.91
13-19-32,388.39,1.14
13-19-33,314.38,0.92
13-19-34,382.29,1.12
13-19-35,319.38,0.94
13-19-36,373.84,1.1
13-19-37,330.6,0.97
13-19-38,355.51,1.04
13-19-39,349.66,1.03
13-19-40,344.33,1.01
13-19-41,363.35,1.07
13-19-42,330.5,0.97
13-19-43,376.17,1.1
13-19-44,319.34,0.94
13-19-45,384.88,1.13
13-19-46,312.55,0.92
13-19-47,388.74,1.14
13-19-48,310.71,0.91
13-19-49,388.53,1.14
13-19-51,314.19,0.92
13-19-51,381.5,1.12
13-19-52,322.04,0.94
13-19-53,372.36,1.09
13-19-54,333.16,0.98
13-19-55,354.08,1.04
